Key	Type	Desc	Thai
ControlMapper/DefaultCategory	Text		Chung
ControlMapper/DefaultDescription	Text		Các hành động chung được sử dụng ở nhiều nơi khác nhau trong trò chơi
ControlMapper/DropSelectedItem	Text		Thả vật phẩm ra thế giới
ControlMapper/E4	Text		E4
ControlMapper/E5	Text		E5
ControlMapper/EquipPreset1	Text		Trang bị bộ trang bị 1
ControlMapper/EquipPreset2	Text		Trang bị bộ trang bị 2
ControlMapper/EquipPreset3	Text		Trang bị bộ trang bị 3
ControlMapper/EquipSlot1	Text		Trang bị ô 1
ControlMapper/EquipSlot10	Text		Trang bị ô 10
ControlMapper/EquipSlot2	Text		Trang bị ô 2
ControlMapper/EquipSlot3	Text		Trang bị ô 3
ControlMapper/EquipSlot4	Text		Trang bị ô 4
ControlMapper/EquipSlot5	Text		Trang bị ô 5
ControlMapper/EquipSlot6	Text		Trang bị ô 6
ControlMapper/EquipSlot7	Text		Trang bị ô 7
ControlMapper/EquipSlot8	Text		Trang bị ô 8
ControlMapper/EquipSlot9	Text		Trang bị ô 9
ControlMapper/F4	Text		F4
ControlMapper/F4S	Text		F#4
ControlMapper/F5	Text		F5
ControlMapper/F5S	Text		F#5
ControlMapper/G4	Text		G4
ControlMapper/G4S	Text		G#4
ControlMapper/G5	Text		G5
ControlMapper/G5S	Text		G#5
ControlMapper/GameCancel	Text		Đóng
ControlMapper/GameConfirm	Text		Xác nhận tùy chọn
ControlMapper/GameInteract	Text		Tấn công
ControlMapper/GameMenu	Text		Mở menu
ControlMapper/GameNextItem	Text		Trang bị vật phẩm tiếp theo
ControlMapper/GamePreviousItem	Text		Trang bị vật phẩm trước đó
ControlMapper/GameSecondInteract	Text		Sử dụng vật phẩm
ControlMapper/GameX	Text		Trục X cần gạt trái
ControlMapper/GameY	Text		Trục Y cần gạt trái
ControlMapper/Honk	Text		Bóp còi
ControlMapper/HotbarSwapModifierPC	Text		Nút đổi thanh công cụ nhanh
ControlMapper/HotbarSwapModifierPlaystation	Text		Nút đổi thanh công cụ nhanh
ControlMapper/HotbarSwapModifierSwitch	Text		Nút đổi thanh công cụ nhanh
ControlMapper/HotbarSwapModifierXbox	Text		Nút đổi thanh công cụ nhanh
ControlMapper/IngameCategory	Text		Lối chơi
ControlMapper/IngameDescription	Text		Các hành động được sử dụng trong lối chơi thông thường
ControlMapper/InventoryCategory	Text		Túi đồ
ControlMapper/InventoryDescription	Text		Các hành động quản lý túi đồ
ControlMapper/MapMoveDown	Text		Di chuyển xuống trên bản đồ
ControlMapper/MapMoveLeft	Text		Di chuyển sang trái trên bản đồ
ControlMapper/MapMoveRight	Text		Di chuyển sang phải trên bản đồ
ControlMapper/MapMoveUp	Text		Di chuyển lên trên bản đồ
ControlMapper/MapNextMarker	Text		Chọn điểm đánh dấu tiếp theo
ControlMapper/MapPing	Text		Đánh dấu bản đồ
ControlMapper/MapPreviousMarker	Text		Chọn điểm đánh dấu trước đó
ControlMapper/MapViewCategory	Text		Bản đồ
ControlMapper/MapViewDescription	Text		Điều khiển bản đồ toàn màn hình
ControlMapper/MenuDown	Text		Giao diện game - Xuống
ControlMapper/MenuLeft	Text		Giao diện game - Trái
ControlMapper/MenuRight	Text		Giao diện game - Phải
ControlMapper/MenuUp	Text		Giao diện game - Lên
ControlMapper/MoveBackward	Text		Di chuyển lùi
ControlMapper/MoveFaster	Text		Di chuyển nhanh ở chế độ sáng tạo
ControlMapper/MoveForward	Text		Di chuyển tới
ControlMapper/MoveLeft	Text		Di chuyển sang trái
ControlMapper/MoveRight	Text		Di chuyển sang phải
ControlMapper/MoveUp	Text		Di chuyển tới
ControlMapper/MusicInstrumentCategory	Text		Nhạc cụ
ControlMapper/MusicInstrumentDescription	Text		Được sử dụng để chơi các nốt nhạc trên nhiều nhạc cụ khác nhau
ControlMapper/ObjectInteract	Text		Tương tác với vật thể
ControlMapper/OctaveChange	Text		Tăng quãng tám trên tay cầm
ControlMapper/OpenChat	Text		Mở trò chuyện
ControlMapper/PickUp10	Text		Nhặt / Thả 10 vật phẩm
ControlMapper/PickUpAllItems	Text		Nhặt / Thả tất cả vật phẩm
ControlMapper/PickUpHalf	Text		Nhặt / Thả một nửa số lượng vật phẩm
ControlMapper/PickUpItems	Text		Nhặt / Đặt vật phẩm
ControlMapper/QuickMoveItems	Text		Chuyển nhanh vật phẩm sang túi khác hoặc trang bị
ControlMapper/QuickStack	Text		Cất nhanh
ControlMapper/QuickSwapTorch	Text		Chuyển nhanh sang đuốc tạm thời
ControlMapper/ReassignRemoveMessage	Text		Bạn có muốn gán lại hoặc xóa lượt gán này không?
ControlMapper/ReassignRemoveTitle	Text		Gán lại hoặc Xóa
ControlMapper/RemoveAssignmentMessage	Text		Bạn có chắc chắn muốn xóa lượt gán {0} khỏi {1}?
ControlMapper/ResetNotification	Text		Các cài đặt phím điều khiển của bạn đã được đặt lại về mặc định. Vui lòng thiết lập các điều khiển ưa thích của bạn trong menu Điều khiển.
ControlMapper/ReverseVehicle	Text		Lùi phương tiện
ControlMapper/RightJoyStickX	Text		Trục X cần gạt phải
ControlMapper/RightJoyStickY	Text		Trục Y cần gạt phải
ControlMapper/RightJoystickBack	Text		Cần gạt phải về phía sau
ControlMapper/RightJoystickForward	Text		Cần gạt phải về phía trước
ControlMapper/RightJoystickLeft	Text		Cần gạt phải sang trái
ControlMapper/RightJoystickRight	Text		Cần gạt phải sang phải
ControlMapper/Rotate	Text		Xoay / Thay đổi kích thước
ControlMapper/Sort	Text		Sắp xếp túi đồ
ControlMapper/SplitStack	Text		Chia tách nhóm vật phẩm
ControlMapper/StopPlayingInstrument	Text		Dừng chơi nhạc
ControlMapper/Timeout	Text		Thời gian còn lại
ControlMapper/ToggleInventory	Text		Bật/Tắt túi đồ
ControlMapper/ToggleLocking	Text		Bật/Tắt chế độ khóa
ControlMapper/ToggleMap	Text		Bật/Tắt bản đồ
ControlMapper/ToggleShortCutsWindowPC	Text		Bật/Tắt cửa sổ phím tắt
ControlMapper/ToggleShortCutsWindowPlaystation	Text		Bật/Tắt cửa sổ phím tắt
ControlMapper/ToggleShortCutsWindowSwitch	Text		Bật/Tắt cửa sổ phím tắt
ControlMapper/ToggleShortCutsWindowXbox	Text		Bật/Tắt cửa sổ phím tắt
ControlMapper/ToggleSpectatedPlayer	Text		Chuyển đổi người chơi đang quan sát
ControlMapper/ToggleUI	Text		Bật/Tắt giao diện trò chơi
ControlMapper/TrashItem	Text		Bỏ vật phẩm được chọn vào thùng rác
ControlMapper/UIInteract	Text		Tương tác giao diện
ControlMapper/UIModifierKeys	Text		Các phím bổ trợ giao diện túi đồ, sử dụng cùng với hành động nhặt / thả vật phẩm
ControlMapper/UIModifierKeysCategory	Text		Các phím bổ trợ giao diện túi đồ
ControlMapper/UIModifierKeysDescription	Text		Sử dụng cùng với hành động nhặt / thả vật phẩm
ControlMapper/UISecondInteract	Text		Tương tác phụ giao diện
ControlMapper/UseOffHand	Text		Sử dụng tay phụ
ControlMapper/VehicleCategory	Text		Phương tiện
ControlMapper/VehicleDescription	Text		Được sử dụng để điều khiển xe go-kart và các phương tiện tương tự khác
ControlMapper/ZoomInMap	Text		Phóng to bản đồ
ControlMapper/ZoomOutMap	Text		Thu nhỏ bản đồ
ControlMapper/actionColumnLabel	Text		Hành động
ControlMapper/add	Text		Thêm
ControlMapper/alt	Text		Alt
ControlMapper/assignControllerButtonLabel	Text		Gán tay cầm
ControlMapper/assignControllerWindowMessage	Text		Nhấn nút bất kỳ hoặc di chuyển một trục trên tay cầm mà bạn muốn sử dụng.
ControlMapper/assignControllerWindowTitle	Text		Chọn tay cầm
ControlMapper/assignedControllersGroupLabel	Text		Tay cầm đã gán:
ControlMapper/calibrateAxisStep1WindowMessage	Text		Đưa {0} về vị trí trung tâm hoặc giá trị 0 và nhấn nút bất kỳ hoặc chờ bộ đếm thời gian kết thúc.
ControlMapper/calibrateAxisStep1WindowTitle	Text		Hiệu chuẩn điểm 0
ControlMapper/calibrateAxisStep2WindowMessage	Text		Di chuyển {0} qua toàn bộ phạm vi của nó rồi nhấn nút bất kỳ hoặc chờ bộ đếm thời gian kết thúc.
ControlMapper/calibrateAxisStep2WindowTitle	Text		Hiệu chuẩn phạm vi
ControlMapper/calibrateControllerButtonLabel	Text		Hiệu chuẩn
ControlMapper/calibrateControllerWindowTitle	Text		Hiệu chuẩn tay cầm
ControlMapper/calibrateWindow_calibrateButtonLabel	Text		Hiệu chuẩn
ControlMapper/calibrateWindow_deadZoneSliderLabel	Text		Vùng chết:
ControlMapper/calibrateWindow_invertToggleLabel	Text		Đảo ngược
ControlMapper/calibrateWindow_sensitivitySliderLabel	Text		Độ nhạy:
ControlMapper/calibrateWindow_zeroSliderLabel	Text		Điểm 0:
ControlMapper/command	Text		Lệnh
ControlMapper/control	Text		Điều khiển
ControlMapper/controllerAssignmentConflictWindowMessage	Text		{0} đã được gán cho {1}. Bạn có muốn gán tay cầm này cho {2} thay thế không?
ControlMapper/controllerAssignmentConflictWindowTitle	Text		Gán tay cầm
ControlMapper/controllerColumnLabel	Text		Tay cầm
ControlMapper/controllerSettingsGroupLabel	Text		Tay cầm:
ControlMapper/default	Text		Mặc định
ControlMapper/doneButtonLabel	Text		Xong
ControlMapper/elementAlreadyInUseBlocked	Text		{0} đã được sử dụng và không thể thay thế.
ControlMapper/elementAlreadyInUseCanReplace	Text		{0} đã được sử dụng. Bạn có muốn thay thế nó không?
ControlMapper/elementAlreadyInUseCanReplace_conflictAllowed	Text		{0} đã được sử dụng. Bạn có muốn thay thế nó không? Bạn cũng có thể chọn vẫn thêm lượt gán này.
ControlMapper/elementAssignmentConflictWindowMessage	Text		Xung đột lượt gán
ControlMapper/elementAssignmentPrePollingWindowMessage	Text		Đầu tiên hãy đưa tất cả cần gạt và trục về vị trí trung tâm hoặc giá trị 0, sau đó nhấn nút bất kỳ hoặc chờ bộ đếm thời gian kết thúc.
ControlMapper/inputBehaviorSettingsButtonLabel	Text		Độ nhạy
ControlMapper/inputBehaviorSettingsWindowTitle	Text		Cài đặt độ nhạy
ControlMapper/joystickElementAssignmentPollingWindowMessage	Text		Bây giờ hãy nhấn một nút hoặc di chuyển một trục để gán cho {0}.
ControlMapper/joystickElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Text		Bây giờ hãy di chuyển một trục để gán cho {0}.
ControlMapper/keyboardColumnLabel	Text		Bàn phím
ControlMapper/keyboardElementAssignmentPollingWindowMessage	Text		Nhấn một phím để gán cho {0}. Các phím bổ trợ cũng có thể được sử dụng. Để chỉ gán riêng phím bổ trợ, [#FF1E00FF]hãy giữ nó trong 1 giây.[/]
ControlMapper/mapCategoriesGroupLabel	Text		Danh mục:
ControlMapper/mouseAssignmentConflictWindowMessage	Text		Chuột đã được gán cho {0}. Bạn có muốn gán chuột cho {1} thay thế không?
ControlMapper/mouseAssignmentConflictWindowTitle	Text		Gán chuột
ControlMapper/mouseColumnLabel	Text		Chuột
ControlMapper/mouseElementAssignmentPollingWindowMessage	Text		Nhấn một nút chuột hoặc di chuyển một trục để gán cho {0}
ControlMapper/mouseElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Text		Di chuyển một trục để gán cho {0}.
ControlMapper/none	Text		Không
ControlMapper/okay	Text		Đồng ý
ControlMapper/playersGroupLabel	Text		Người chơi:
ControlMapper/remove	Text		Xóa
ControlMapper/removeControllerButtonLabel	Text		Xóa
ControlMapper/restoreDefaultsButtonLabel	Text		Khôi phục mặc định
ControlMapper/restoreDefaultsWindowMessage_multiPlayer	Text		Thao tác này sẽ khôi phục cấu hình phím điều khiển mặc định cho tất cả người chơi. Bạn có chắc chắn muốn thực hiện việc này không?
ControlMapper/restoreDefaultsWindowMessage_onePlayer	Text		Thao tác này sẽ khôi phục cấu hình phím điều khiển mặc định. Bạn có chắc chắn muốn thực hiện việc này không?
ControlMapper/restoreDefaultsWindowTitle	Text		Khôi phục mặc định
ControlMapper/separator	Text		+
ControlMapper/settingsGroupLabel	Text		Cài đặt:
ControlMapper/shift	Text		Shift
ControlMapper/swap	Text		Hoán đổi
CookFoodToDiscover	Text		Nấu ăn để bắt đầu khám phá các công thức
CooldownMin	Text		Thời gian hồi {0} phút
CooldownMinSec	Text		Thời gian hồi {0} phút {1} giây
CooldownSec	Text		Thời gian hồi {0} giây
CopyGameInfo	Text		Sao chép thông tin game
CreativeMode	Text		Sáng tạo
CreativeModeDesc	Text		Thỏa sức tưởng tượng của bạn trong một thế giới trống trải, vô hạn.
Credits/AccountDirector	Text		Giám đốc Khách hàng
Credits/AcquisitionManager	Text		Trưởng bộ phận Đối tác
Credits/Actors	Text		Diễn viên
Credits/AdditionalActors	Text		Diễn viên bổ sung
Credits/AdditionalArt	Text		Mỹ thuật bổ sung
Credits/AdditionalAudio	Text		Âm thanh bổ sung
Credits/AdditionalEditors	Text		Biên tập viên bổ sung
Credits/AdditionalGameDesign	Text		Thiết kế Game bổ sung
Credits/AdditionalLeads	Text		Trưởng nhóm bổ sung
Credits/AdditionalProduction	Text		Sản xuất bổ sung
Credits/AdditionalProgramming	Text		Lập trình bổ sung
Credits/AdditionalRecording	Text		Thu âm bổ sung
Credits/AdditionalSFX	Text		Hiệu ứng âm thanh bổ sung
Credits/AdditionalWriting	Text		Biên kịch bổ sung
Credits/AdminAssistant	Text		Trợ lý Hành chính
Credits/AmazingModeratorTeam	Text		Đội ngũ Kiểm duyệt tuyệt vời
Credits/Animation	Text		Hoạt họa
Credits/Animators	Text		Nghệ sĩ hoạt họa
Credits/Art	Text		Mỹ thuật
Credits/ArtAndEffects	Text		Mỹ thuật và Hiệu ứng
Credits/ArtDirector	Text		Giám đốc Mỹ thuật
Credits/Artists	Text		Nghệ sĩ Mỹ thuật
Credits/AssistantCommunityManager	Text		Trợ lý Quản lý cộng đồng
Credits/AssociateArtDirector	Text		Phó Giám đốc Mỹ thuật
Credits/AssociateProducer	Text		Phó Giám đốc sản xuất
Credits/AssociateProductManager	Text		Phó quản lý sản phẩm
Credits/Association71Consulting	Text		"""""""Hợp tác với Studio Marketing & PR
71 Consulting""
""
""
"
Credits/AssociationAceAgency	Text		"""""""Hợp tác với Studio Dịch thuật
ACE Agency""
""
""
"
Credits/AssociationDreamLoop	Text		"""""""Hợp tác với Studio Chuyển hệ Console
Dreamloop Games""
""
""
"
Credits/AssociationEnzyme	Text		"""""""Hợp tác với Studio Kiểm thử khả năng tương thích
Enzyme""
""
""
"
Credits/AssociationKeywordsIndia	Text		"""""""Hợp tác với Studio PC FQA
Keywords India""
""
""
"
Credits/AssociationLionbridge	Text		"""""""Hợp tác với Studio FQA PC & Console
Lionbridge Games""
""
""
"
Credits/AssociationLionbridgeLQA	Text		"""""""Hợp tác với Studio LQA PC & Console
Lionbridge Games""
""
""
"
Credits/AssociationLocalizeDirect	Text		"""""""Hợp tác với Studio PC LQA
LocalizeDirect""
""
""
"
Credits/AssociationOhCreative	Text		"""""""Hợp tác với Studio Marketing
OH Creative""
""
""
"
Credits/AssociationPiktiv	Text		"""""""Hợp tác với Studio Chuyển hệ Nintendo Switch 2
Piktiv""
""
""
"
Credits/AssociationPlaytropic	Text		"""""""Hợp tác với Studio FQA PC & Console
Playtropic Video Game Services""
""
""
"
Credits/AssociationTestify	Text		"""""""Hợp tác với Studio Kiểm thử
Testify""
""
""
"
Credits/AudioAndMusic	Text		Âm thanh và Âm nhạc
Credits/AudioDesigners	Text		Nghệ sĩ Thiết kế Âm thanh
Credits/CEO	Text		CEO
Credits/COO	Text		COO
Credits/ChiefAcquisitionsProductionOfficer	Text		Giám đốc Đối tác & Sản xuất
Credits/ChiefPortfolioOfficer	Text		Giám đốc Quản lý Danh mục sản phẩm
Credits/ChiefSalesOfficer	Text		Giám đốc Kinh doanh
Credits/ChineseSimplifiedLQATester	Text		Kiểm thử viên LQA tiếng Trung (Giản thể)
Credits/ChineseTraditionalLQATester	Text		Kiểm thử viên LQA tiếng Trung (Phồn thể)
Credits/CommunityManager	Text		Quản lý Cộng đồng
Credits/CommunityProgramsCoordinator	Text		Điều phối viên Chương trình Cộng đồng
Credits/CompatibilityTesting	Text		Kiểm thử khả năng tương thích
Credits/ComplianceEngineer	Text		Kỹ sư Đảm bảo quy chuẩn
Credits/ComplianceTestLead	Text		Trưởng nhóm Kiểm thử Đảm bảo quy chuẩn
Credits/ConsolePorting	Text		Chuyển hệ Console
Credits/CoreKeeper	Text		Core Keeper
Credits/CoreSupporters	Text		Những người ủng hộ cốt lõi
Credits/CreativeDirector	Text		Giám đốc Sáng tạo
Credits/CreativeLead	Text		Trưởng nhóm Sáng tạo
Credits/CreativeProducer	Text		Giám đốc Sản xuất Sáng tạo
Credits/CustomerSupport	Text		Hỗ trợ Khách hàng
Credits/DevOps	Text		DevOps
Credits/DevelopedBy	Text		Phát triển bởi
Credits/DevelopmentDirector	Text		Giám đốc Phát triển
Credits/DigitalMarketingManager	Text		Quản lý Tiếp thị Kỹ thuật số
Credits/DigitalMarketingSpecialist	Text		Chuyên viên Tiếp thị Kỹ thuật số
Credits/Director	Text		Đạo diễn
Credits/DirectorOfGames	Text		Giám đốc Trò chơi
Credits/Editors	Text		Biên tập viên
Credits/EngineeringManager	Text		Quản lý Kỹ thuật
Credits/EuropeanSpanishLQATester	Text		Kiểm thử viên LQA tiếng Tây Ban Nha Châu Âu
Credits/FQATestAssociates	Text		Cộng tác viên Kiểm thử FQA
Credits/FQATestLead	Text		Trưởng nhóm Kiểm thử FQA
Credits/FinanceAssistant	Text		Trợ lý Tài chính
Credits/FinanceDirector	Text		Giám đốc Tài chính
Credits/FinanceHRDirector	Text		Giám đốc Tài chính & Nhân sự
Credits/FinanceTeam	Text		Đội ngũ Tài chính
Credits/FinancialController	Text		Kiểm soát viên Tài chính
Credits/FormerCEO	Text		Cựu CEO
Credits/FormerCOO	Text		Cựu COO
Credits/FormerSalesAndContentAnalyst	Text		Cựu Nhà phân tích Doanh số và Nội dung
Credits/FrenchLQATester	Text		Kiểm thử viên LQA tiếng Pháp
Credits/GameDesign	Text		Thiết kế Game
Credits/GameDirector	Text		Giám đốc Trò chơi
Credits/GameScout	Text		Chuyên viên khảo sát game
Credits/GameplayAndDesign	Text		Lối chơi và Thiết kế
Credits/GameplayDesigners	Text		Nhà thiết kế lối chơi
Credits/GameplayDirector	Text		Giám đốc Lối chơi
Credits/GameplayProgrammers	Text		Lập trình viên Lối chơi
Credits/GermanLQATester	Text		Kiểm thử viên LQA tiếng Đức
Credits/HeadGameScout	Text		Trưởng nhóm khảo sát game
Credits/HeadOfDigitalCommerce	Text		Trưởng bộ phận Thương mại Kỹ thuật số
Credits/HeadofProductMarketing	Text		Trưởng bộ phận Tiếp thị Sản phẩm
Credits/InfluencerManager	Text		Quản lý Người ảnh hưởng
Credits/ItalianLQATester	Text		Kiểm thử viên LQA tiếng Ý
Credits/JapaneseLQATester	Text		Kiểm thử viên LQA tiếng Nhật
Credits/JuniorAccountManager	Text		Trợ lý Quản lý khách hàng
Credits/KoreanLQATester	Text		Kiểm thử viên LQA tiếng Hàn
Credits/LQATestDirector	Text		Giám đốc Kiểm thử LQA
Credits/LQATestManager	Text		Quản lý Kiểm thử LQA
Credits/LQATesters	Text		Kiểm thử viên LQA
Credits/LeadAnimator	Text		Trưởng nhóm Hoạt họa
Credits/LeadAnimators	Text		Trưởng nhóm Hoạt họa
Credits/LeadArtist	Text		Họa sĩ Trưởng
Credits/LeadAssociateProducer	Text		Trưởng nhóm Phó sản xuất
Credits/LeadComposer	Text		Nhạc sĩ Trưởng
Credits/LeadGameplay	Text		Trưởng nhóm Lối chơi
Credits/LeadGameplayProgrammer	Text		Lập trình viên Lối chơi Trưởng
Credits/LeadProducer	Text		Nhà sản xuất trưởng
Credits/LeadProducerLiveOps	Text		Nhà sản xuất trưởng (Vận hành Trực tiếp)
Credits/LeadProgrammer	Text		Lập trình viên Trưởng
Credits/LeadRenderingProgrammer	Text		Lập trình viên Đồ họa Trưởng
Credits/LeadTechnicalProgrammer	Text		Lập trình viên Kỹ thuật Trưởng
Credits/LevelDesigners	Text		Nhà thiết kế Màn chơi / Thế giới
Credits/Localisation	Text		Bản địa hóa
Credits/MarketingDirector	Text		Giám đốc Tiếp thị
Credits/MarketingMaterial	Text		Tài liệu Tiếp thị
Credits/ModdingSupport	Text		Hỗ trợ Modding
Credits/Music	Text		Âm nhạc
Credits/NarrativeAndPlot	Text		Cốt truyện và Kịch bản
Credits/OperationsAssistantManager	Text		Trợ lý Quản lý Vận hành
Credits/OperationsManager	Text		Quản lý Vận hành
Credits/PCFQA	Text		PC FQA
Credits/PCLQA	Text		PC LQA
Credits/PCandConsoleFQA	Text		FQA PC & Console
Credits/PCandConsoleQA	Text		QA PC & Console
Credits/PRAndCommunications	Text		PR và Truyền thông
Credits/PartneredFireshine	Text		"""""""Hợp tác với Nhà phát hành
Fireshine Games""
""
""
"
Credits/PartneredUnity	Text		Hợp tác với Unity Technologies
Credits/PlayFab	Text		Một số phần của chương trình này bản quyền © 2023 Microsoft Azure PlayFab
Credits/PortingProgrammers	Text		Lập trình viên Chuyển hệ
Credits/PortugueseBrazilianLQATester	Text		Kiểm thử viên LQA tiếng Bồ Đào Nha Brazil
Credits/Producer	Text		Nhà sản xuất
Credits/Producers	Text		Nhà sản xuất
Credits/ProductManager	Text		Quản lý Sản phẩm
Credits/Production	Text		Sản xuất
Credits/ProductionAssistant	Text		Trợ lý Sản xuất
Credits/ProductionBabies	Text		Em bé của nhóm sản xuất
Credits/ProductionDirector	Text		Giám đốc Sản xuất
Credits/ProductionSupport	Text		Hỗ trợ Sản xuất
Credits/ProductionandCommunitySupport	Text		Hỗ trợ Sản xuất & Cộng đồng
Credits/Programmer	Text		Lập trình viên
Credits/Programming	Text		Lập trình
Credits/ProgrammingConsultant	Text		Cố vấn Lập trình
Credits/ProjectManager	Text		Quản lý Dự án
Credits/PublishedBy	Text		Phát hành bởi
Credits/PublishingBusinessDevelopmentManager	Text		Quản lý Phát triển Kinh doanh Phát hành
Credits/QADirector	Text		Giám đốc QA
Credits/QALeadandProjectSupport	Text		Trưởng nhóm QA & Hỗ trợ Dự án
Credits/QATester	Text		Kiểm thử viên QA
Credits/QAandCommunitySupport	Text		Hỗ trợ QA & Cộng đồng
Credits/QualityAssuranceCoordinator	Text		Điều phối viên Đảm bảo Chất lượng
Credits/RecordingLead	Text		Trưởng nhóm Thu âm
Credits/ReleaseManager	Text		Quản lý Phát hành
Credits/RenderingProgrammers	Text		Lập trình viên Đồ họa
Credits/RussianLQATester	Text		Kiểm thử viên LQA tiếng Nga
Credits/SFX	Text		Hiệu ứng âm thanh
Credits/SalesDirector	Text		Giám đốc Kinh doanh
Credits/SalesManager	Text		Quản lý Kinh doanh
Credits/SceneMakers	Text		Nhà thiết kế bối cảnh
Credits/SeniorAccountManager	Text		Quản lý khách hàng cấp cao
Credits/SeniorBrandManager	Text		Quản lý Thương hiệu cấp cao
Credits/SeniorClientPartner	Text		Đối tác khách hàng cấp cao
Credits/SeniorFinanceAssistant	Text		Trợ lý Tài chính cấp cao
Credits/SeniorGameScout	Text		Chuyên viên khảo sát game cấp cao
Credits/SeniorGlobalTestManager	Text		Quản lý Kiểm thử Toàn cầu cấp cao
Credits/SeniorLQATestLead	Text		Trưởng nhóm Kiểm thử LQA cấp cao
Credits/SeniorMarketingAndCommunicationsManager	Text		Quản lý Tiếp thị & Truyền thông cấp cao
Credits/SeniorPRConsultant	Text		Cố vấn PR cấp cao
Credits/SeniorProducer	Text		Nhà sản xuất cấp cao
Credits/SeniorProductManager	Text		Quản lý Sản phẩm cấp cao
Credits/SeniorProgrammeManager	Text		Quản lý Chương trình cấp cao
Credits/SeniorProjectManager	Text		Quản lý Dự án cấp cao
Credits/SeniorQATester	Text		Kiểm thử viên QA cấp cao
Credits/SeniorSalesManager	Text		Quản lý Kinh doanh cấp cao
Credits/SeniorSoftwareEngineer	Text		Kỹ sư Phần mềm cấp cao
Credits/SeniorTestDirector	Text		Giám đốc Kiểm thử cấp cao
Credits/SeniorTestManager	Text		Quản lý Kiểm thử cấp cao
Credits/SeniorTesters	Text		Kiểm thử viên cấp cao
Credits/SeventyOneConsulting	Text		71 Consulting
Credits/SocialMediaAndCommunityManager	Text		Quản lý Mạng xã hội & Cộng đồng
Credits/SoftwareEngineer	Text		Kỹ sư Phần mềm
Credits/SpecialThanks	Text		Lời cảm ơn đặc biệt
Credits/Tech	Text		Công nghệ
Credits/TechnicalArtists	Text		Họa sĩ Kỹ thuật
Credits/TechnicalDirector	Text		Giám đốc Kỹ thuật
Credits/TechnicalLead	Text		Trưởng nhóm Kỹ thuật
Credits/TechnicalProgrammers	Text		Lập trình viên Kỹ thuật
Credits/TestLeads	Text		Trưởng nhóm Kiểm thử
Credits/Testers	Text		Kiểm thử viên
Credits/ThaiFont	Text		Phông chữ tiếng Thái
Credits/ThaiLQATester	Text		Kiểm thử viên LQA tiếng Thái
Credits/ThanksForPlaying	Text		Cảm ơn bạn đã chơi!
Credits/TrailerTeam	Text		Đội ngũ Sản xuất Trailer
Credits/UkrainianLQATester	Text		Kiểm thử viên LQA tiếng Ukraine
Credits/UserTesting	Text		Kiểm thử người dùng
Credits/Writers	Text		Biên kịch
Credits/Writing	Text		Viết kịch bản
CreditsNames/ACE	Text		ACE Agency
CreditsNames/AdamBajguz	Text		Adam Bajguz
CreditsNames/AdamBogun	Text		Adam Bogun
CreditsNames/AdamJarochowski	Text		Adam Jarochowski
CreditsNames/AdonaiMason	Text		Adonaí Mason
CreditsNames/AdrianPfaffenhausen	Text		Adrian Pfaffenhausen
CreditsNames/AgataPisarczyk	Text		Agata Pisarczyk
CreditsNames/Aharon	Text		Aharon
CreditsNames/AleksyKaczmarzyk	Text		Aleksy Kaczmarzyk
CreditsNames/AlenGazibegovic	Text		Alen Gazibegovic
CreditsNames/AlexLewis	Text		Alex Lewis
CreditsNames/AlexanderMa	Text		Alexander Ma
CreditsNames/AlikBeckles	Text		Alik Beckles
CreditsNames/AllaDouneva	Text		Alla Douneva
CreditsNames/An7hen	Text		An7hen
CreditsNames/AndersGullmarsvik	Text		Anders Gullmarsvik
CreditsNames/AndisBerzins	Text		Andis Bērziņš
CreditsNames/AndreasAckermann	Text		Andreas Ackermann
CreditsNames/AndreeaSandu	Text		Andreea Sandu
CreditsNames/AndrewGlass	Text		Andrew Glass
CreditsNames/AndrewSaraev	Text		Andrew Saraev
CreditsNames/AndyBrammal	Text		Andy Brammal
CreditsNames/AnkeFormann	Text		Anke Formann
CreditsNames/AnnaWeber	Text		Anna Weber
CreditsNames/ArtemNevinchanyi	Text		Artem Nevinchanyi
CreditsNames/Arvid	Text		Arvid
CreditsNames/AtillaBertiz	Text		Atilla Bertiz
CreditsNames/AudreyAnnDesrosiersDrainville	Text		Audrey-Ann Desrosiers Drainville
CreditsNames/August	Text		August
CreditsNames/AustinEdwards	Text		Austin Edwards
CreditsNames/AxM	Text		Ax M.
CreditsNames/Az011	Text		Az011
CreditsNames/AzurDawn	Text		AzurDawn
CreditsNames/BabygirlTess	Text		BabygirlTess
CreditsNames/Beach	Text		Beach
CreditsNames/BeckyStow	Text		Becky Stow
CreditsNames/BettinaR	Text		Bettina R.
CreditsNames/BoValdemar	Text		Bo Valdemar Norgren
CreditsNames/BrandonCraigTurner	Text		Brandon Craig-Turner
CreditsNames/BrianFoote	Text		Brian Foote
CreditsNames/BridieDaniels	Text		Bridie Daniels
CreditsNames/BugsyRabbit2004	Text		BugsyRabbit2004
CreditsNames/Burgle	Text		Burgle_Official
CreditsNames/CarlWilliamLindkvist	Text		Carl-William Lindkvist
CreditsNames/CarriganTessSevedge	Text		"""""""Carrigan ""Tess"" Sevedge""
""
""
"
CreditsNames/CatrionaBarber	Text		Catriona Barber
