Key	English
Conditions/GainRemainingManaAsMagicDamagePercentage	Up to {0}% magic damage based on your remaining mana
Conditions/GainSleepFromStandingStill	You enter cancellable sleep from standing still for 3 sec
Conditions/GodMode	You are in god mode
Conditions/GreenGlow	{0} green glow
Conditions/HealOnMinionDespawn	Minions heal you for {0}% health when they despawn
Conditions/HealOverTime	{0} health every sec
Conditions/HealOverTimePercentage	{0}% health every sec
Conditions/HealingPotionAddHealOverTime	Healing potions also heal for {0}% of health gained from the potion over time
Conditions/HealthAddition	{0} health
Conditions/HealthAdditionPercentage	{0}% health
Conditions/HealthReduction	{0} health
Conditions/HungerAddition	{0} food
Conditions/HungerAdditionOnHarvest	{0} food gained when harvesting plants
Conditions/ImmuneToAcid	Immune to acid damage
Conditions/ImmuneToBurning	Immune to burning
Conditions/ImmuneToDamageAfterRespawn	Immune to damage
Conditions/ImmuneToMold	Immune to mold infection
Conditions/ImmuneToOil	Immune to oil
Conditions/ImmuneToPoison	Immune to poison
Conditions/ImmuneToRadioactiveDamage	Immune to radioactive damage
Conditions/ImmuneToSlimeSlow	Immune to being slowed by slime
Conditions/ImmuneToSlipperyMovement	Immune to slippery movement
Conditions/ImmuneToStun	Immune to stun
Conditions/IncreaseCritChanceAfterPoisonApply	{0}% critical hit chance for a short duration after successfully applying poison
Conditions/IncreaseManaCostAndMagicDamagePercentage	{0}% increased mana cost and magic damage per Titan Breath attack
Conditions/IncreaseManaCostAndMagicDamagePercentagePerSecond	{0}% increased mana cost and magic damage per beam attack up to 400%
Conditions/IncreaseSequenceExplosionTotalMaxExplosionsOnHit	Each hit gives the secondary use an extra explosion
Conditions/IncreasedAppliedStunDuration	{0}% longer stun durations
Conditions/IncreasedArmorPercentageWhileAdjacentToWater	{0}% armor while adjacent to water
Conditions/IncreasedBoatSpeed	{0}% boat speed
Conditions/IncreasedBurningDamagePercentage	{0}% burning damage
Conditions/IncreasedChanceForHigherRarityFish	{0}% chance for higher rarity fish to bite
Conditions/IncreasedChanceToGetFish	{0}% chance to get a fish on the hook
Conditions/IncreasedChanceToGetFishLoot	{0}% chance to get a valuable or other non-fish item on the hook when fishing
Conditions/IncreasedChanceToSpawnMinionOnHit	{0}% chance to spawn a mininon when an enemy is hit
Conditions/IncreasedCharmDuration	{0}% longer duration of applied charm effects
Conditions/IncreasedDamageAgainstBosses	{0}% damage against bosses
Conditions/IncreasedDamageBasedOnTargetRemainingHealth	Deal up to {0}% more damage based on targets remaining health
Conditions/IncreasedDamageTakenPercentage	{0}% damage taken
Conditions/IncreasedDashDuration	{0}% longer dash duration
Conditions/IncreasedExplosivesDamage	{0}% explosion damage
Conditions/IncreasedExplosivesRadiusPercentage	{0}% explosion radius
Conditions/IncreasedFishing	{0} fishing
Conditions/IncreasedHealOnMinionDamage	Heal {0}% on minions attack damage
Conditions/IncreasedHealthRegenEffectiveness	{0}% more healing from health over time regeneration
Conditions/IncreasedMagicDamagePercentage	{0}% magic damage
Conditions/IncreasedMagicDamagePercentageFromAdjacentWater	{0}% magic damage from adjacent water
Conditions/IncreasedMagicDamagePercentageWhileAdjacentToWater	{0}% magic damage while adjacent to water
Conditions/IncreasedMagicDamageToMinionDamage	Minion damage is increased by {0}% of your magic damage increase
Conditions/IncreasedManaRegen	{0} mana every sec
Conditions/IncreasedManaRegenEffectiveness	{0}% faster mana regeneration
Conditions/IncreasedMaxHealth	{0} max health
Conditions/IncreasedMaxHealthPermanent	{0} max health
Conditions/IncreasedMaxMana	{0} max mana
Conditions/IncreasedMaxMinions	{0} max minion count
Conditions/IncreasedMinionAttackSpeed	{0}% minion attack speed
Conditions/IncreasedMinionBossDamagePercentage	{0}% minion damage against bosses
Conditions/IncreasedMinionCountAsMagicBarrier	{0} magic barrier per active minion
Conditions/IncreasedMinionCountAsMagicDamagePercentage	{0}% magic damage for every active minion
Conditions/IncreasedMinionCritChance	{0}% minion critical hit chance
Conditions/IncreasedMinionCritDamagePercentage	{0}% minion critical hit damage
Conditions/IncreasedMinionDamage	{0} minion damage
Conditions/IncreasedMinionDamagePercentage	{0}% minion damage
Conditions/IncreasedMinionLifespanPercentage	{0}% minion lifespan
Conditions/IncreasedPickUpRadius	{0}% pickup radius
Conditions/IncreasedRodRange	{0}% fishing rod throw range
Conditions/InfectedWithMold	{0}% movement speed, increasingly slows down movement from mold infection
Conditions/KillsIncreaseCritChance	Killing an enemy increases critical hit chance by 3%, stacks up to 5 times
Conditions/KingOfSlimes	You are the king of slimes
Conditions/LarvaDisguise	Disguised as a larva
Conditions/LifeOnHit	{0} health on melee hit
Conditions/LifeOnMinionHit	{0} life on minion hit
Conditions/LifeOnPetHit	{0} life on pet hit
Conditions/LightningGunChainLightning	When targeting an enemy the lightning will chain to 3 other nearby enemies
Conditions/LongerCookedFoodBuffs	{0}% longer cooked food buff durations
Conditions/LookLikeGhost	You look like a ghost
Conditions/Love	Gives you a  heart-warming feeling
Conditions/MagicBarrier	{0} magic barrier
Conditions/MagicBarrierAsManaRegen	Recover {0}% of your magic barrier as mana every sec
Conditions/MagicBarrierAsManaRegenPercentage	{0}% of magic barrier is added as mana regen
Conditions/ManaAdditionPercentage	{0}% mana
Conditions/ManaBarrier	{0}% of damage taken is absorbed by your mana pool
Conditions/ManaOnHit	{0} mana on melee hit
Conditions/MeleeAttackSpeedIncrease	{0}% melee attack speed
Conditions/MeleeDamageIncrease	{0}% melee damage
Conditions/MiningIncrease	{0} mining damage
Conditions/MiningPercentageIncrease	{0}% mining damage
Conditions/MiningSpeedIncrease	{0}% mining speed
Conditions/MinionsExplodeAsTheyDespawn	When your minions despawn, they explode for {0}% of their attack damage
Conditions/MovementSpeedBoostAfterDodge	{0}% movement speed boost for a short duration after dodging an attack
Conditions/MovementSpeedBoostAfterMining	{0}% movement speed boost for a short duration after mining a wall
Conditions/MovementSpeedDecrease	{0}% movement speed
Conditions/MovementSpeedIncrease	{0}% movement speed
Conditions/MovementSpeedIncreaseFromRunningConsistently	{0} movement speed from consistent running
Conditions/OrangeGlow	{0} glow
Conditions/PercentageOfFishingAsRange	{0}% of fishing added as range damage
Conditions/PercentageOfMagicBarrierAsMagicDamage	{0}% of magic barrier is added as magic damage
Conditions/PercentageOfMiningAsMelee	{0}% of mining damage added as melee damage
Conditions/PetChanceToGainManaOnAttack	{0}% chance to gain mana on hit
Conditions/PhysicalMeleeDamageIncrease	{0}% physical melee damage
Conditions/PhysicalRangeDamageIncrease	{0}% physical range damage
Conditions/PiercingProjectiles	{0} target(s) pierced by projectiles
Conditions/PinkGlow	{0} pink glow
Conditions/Poisoned	75% reduced healing received
Conditions/RangeAttackSpeedIncrease	{0}% range attack speed
Conditions/RangeDamageIncrease	{0}% range damage
Conditions/ReadyToAmassThenReciprocateDamage	Stores 300% of damage taken up to {0} damage, then deals the stored damage to all nearby enemies after 2 sec
Conditions/RedGlowingEyes	Your eyes glow red
Conditions/ReducedAnvilEquipmentCosts	Crafting items at the anvil and repairing items costs {0}% less materials
Conditions/ReducedDamageFromBosses	{0}% reduced damage taken from bosses
Conditions/ReducedDamageFromExplosions	{0}% reduced damage from explosions caused by you and your allies
Conditions/ReducedImpactOfSlipperyMovement	{0}% reduced impact of slippery movement
Conditions/ReducedImpactOfSlowedBySlime	{0}% reduced impact of slowed movement from slime
Conditions/ReducedMagicBarrierRegenDelayPercentage	Magic barrier regeneration delay reduced by {0}%
Conditions/ReducedManaRegenDelayPercentage	Mana regeneration delay reduced by {0}%
Conditions/RemovePoison	Removes any poison from the imbiber
Conditions/SeedDropChance	{0}% chance to gain a seed when harvesting plants
Conditions/ShortMovementSpeedBoost	{0}% movement speed for a short duration
Conditions/Sleeping	Fall asleep
Conditions/SlipperyMovement	Your movement is slippery
Conditions/SlipperyMovementFromGround	The ground is slippery
Conditions/SlowedBySlime	{0}% movement speed from slime
Conditions/SnareAndStunDurationReduction	Snare and stun durations reduced by {0}%
Conditions/Snared	Snared
Conditions/Snowing	You can feel the winter embracing you
Conditions/SpawnExplosionOnDamageTaken	Deals {0} damage to all nearby enemies when taking damage
Conditions/StackedCritChance	{0}% critical hit chance
Conditions/StarvingDamageDecrease	{0}% reduced damage and max health from starving
Conditions/StarvingHealthDecrease	{0}% reduced max health from starving
Conditions/StarvingMovementSpeedDecrease	{0}% movement speed from starving
Conditions/StrongerWellFedBuffs	Well fed buffs are {0}% stronger
Conditions/Stunned	Stunned
Conditions/Suffocating	Suffocating
Conditions/ThornsDamage	{0} thorns damage
Conditions/ThornsDamageAddedToMeleeAndRange	Your thorns damage is added to your melee and range damage
Conditions/ToolDurabilityLastsLonger	{0}% chance to not lose durability when using tools and weapons
Conditions/VisibleOreDistanceIncrease	{0} tiles visible ore distance
Conditions/VoidGlow	{0} purple glow
Conditions/WellFedBuffsThresholdReduction	Well fed buffs are gained at {0}% lower food
Conditions/WellFedDamageIncrease	{0}% increased damage and max health from being well fed
Conditions/WellFedHealthIncrease	{0}% increased max health from being well fed
Conditions/WellFedManaRegenerationPercentage	{0}% mana regeneration from being well fed
Conditions/WellFedMovementSpeedIncrease	{0}% movement speed from being well fed
ConsoleCommands/AllItemsReinforced	Reinforced all items.
ConsoleCommands/AllItemsRepaired	Repaired all items.
ConsoleCommands/AllItemsSetToLevel	All inventory items set to level {0}.
ConsoleCommands/AmountMustBeLargerThanZero	Amount must be greater than 0.
ConsoleCommands/CannotSpawn	Cannot spawn {0}: objects of this type cannot be spawned.
ConsoleCommands/CannotSpawnCookedFood	Cannot spawn {0}: cooked food must be created through the cooking pot.
ConsoleCommands/ClearedInventory	Cleared {0} items from inventory.
ConsoleCommands/CollectionNotFound	Cannot spawn {0}: no collection with this name exists.
ConsoleCommands/ConsolePermissionsWarning	You must have admin privileges and the host must have console commands enabled.
ConsoleCommands/ManualCameraDisabled	Manual camera control disabled.
ConsoleCommands/ManualCameraEnabled	Manual camera control enabled. Use WASD to move the camera, hold Shift to move faster.
ConsoleCommands/MeleeHitBoxDisabled	Disabled melee hit box display.
ConsoleCommands/MeleeHitBoxEnabled	A hit box will now be displayed when you use a melee weapon.
ConsoleCommands/MustBeInGame	You must be in a game to use this command.
ConsoleCommands/NearbyEnemiesKilled	Killed all nearby enemies.
ConsoleCommands/NoObjectWithName	Cannot spawn {0}: no object with this name exists.
ConsoleCommands/NoVariationUsingDefault	{0} has no variation {1}. Using default variation 0 instead.
ConsoleCommands/PlayerInvincible	{0} is now invincible.
ConsoleCommands/PlayerMoved	Moved {0} to {1}.
ConsoleCommands/PlayerVincible	{0} is no longer invincible.
ConsoleCommands/SetBaseMaxHealth	Base max health set to {0}.
ConsoleCommands/SetHealth	Set health to {0}.
ConsoleCommands/SetHunger	Set hunger to {0}.
ConsoleCommands/SetMana	Set mana to {0}.
ConsoleCommands/SetSkill	Set {0} to level {1}.
ConsoleCommands/Spawned	Spawned {0} x{1}.
ConsoleCommands/SupermanDisabled	Super powers disabled.
ConsoleCommands/SupermanEnabled	Super powers enabled (x{0}).
ConsoleCommands/UnlimitedManaDisabled	{0} no longer has unlimited mana.
ConsoleCommands/UnlimitedManaEnabled	{0} now has unlimited mana.
ConsoleCommands/VersionTextEnabled	The current version number ({0}) is now displayed in the top right of the screen.
Consoles/AccountRestricted	Your account is restricted. You cannot play online.
Consoles/BlockedUser	Blocked user
Consoles/ConfirmSendInvites	Send an invite to {0}?
Consoles/ConnectionErrorGeneric	There was an error during connection to the game.
Consoles/ConnectionListenFailed	Failed to start listening for incoming connections. Please check your internet connection.
Consoles/ConnectionTimeout	The network connection has timed out.
Consoles/ConnectionToLost	The network connection to {0} has been lost.
Consoles/ContentFromBlockedUser	Prohibited content
Consoles/Crossplay	Crossplay
Consoles/Eula61	ACCEPT
Consoles/Eula62	DECLINE
Consoles/GameX_ps	Left stick X-axis
Consoles/GameX_switch	Left stick X-axis
Consoles/GameX_xbox	Left stick X-axis
Consoles/GameY_ps	Left stick Y-axis
Consoles/GameY_switch	Left stick Y-axis
Consoles/GameY_xbox	Left stick Y-axis
Consoles/GamepadSpeakerPS	Speaker
Consoles/InviteAcceptFailed	An error occured while processing the invite.
Consoles/InviteOnly	Invite only session
Consoles/InvitePlayers	Invite Players
Consoles/InvitesFailed	Sending invite to {0} failed
Consoles/InvitesSent	Invite to {0} sent successfully
Consoles/LightBarPS	Light bar
Consoles/MissingPrivilege	You are missing a required privilege. Cannot proceed.
Consoles/MissingPrivilegeReason	You are missing the {0} privilege. Cannot proceed.
Consoles/NewPatchAvailable	A new patch is available. Please download it in order to access online features.
Consoles/NintendoSwitchOnline	Nintendo Switch Online
Consoles/NoInvitableUsers	No invitable players
Consoles/PlayStationNetwork	PlayStation™Network
Consoles/RightJoyStickX_ps	Right stick X-axis
Consoles/RightJoyStickX_switch	Right stick X-axis
Consoles/RightJoyStickX_xbox	Right stick X-axis
Consoles/RightJoyStickY_ps	Right stick Y-axis
Consoles/RightJoyStickY_switch	Right stick Y-axis
Consoles/RightJoyStickY_xbox	Right stick Y-axis
Consoles/RightJoystickBack_ps	Right stick backward
Consoles/RightJoystickBack_switch	Right stick backward
Consoles/RightJoystickBack_xbox	Right stick backward
Consoles/RightJoystickForward_ps	Right stick forward
Consoles/RightJoystickForward_switch	Right stick forward
Consoles/RightJoystickForward_xbox	Right stick forward
Consoles/RightJoystickLeft_ps	Right stick left
Consoles/RightJoystickLeft_switch	Right stick left
Consoles/RightJoystickLeft_xbox	Right stick left
Consoles/RightJoystickRight_ps	Right stick right
Consoles/RightJoystickRight_switch	Right stick right
Consoles/RightJoystickRight_xbox	Right stick right
Consoles/SelectSession	Select Session
Consoles/SessionCreateFailed	Session creation failed.
Consoles/SessionFull	The session you are trying to join is already full.
Consoles/SessionFullWithPlayerCount	The session you are trying to join only supports up to {0} players and is currently full.
Consoles/SessionJoinFailed	Joining the multiplayer session failed.
Consoles/SessionStartFailed	The multiplayer session could not be started. Please check your internet connection.
Consoles/SettingControllerSpeaker	Controller Speaker
Consoles/SettingVibrationNintendoSwitch	HD rumble
Consoles/ShowButtonHintsNintendo	Show button hints
Consoles/ShowButtonHintsPlayStation	Show button hints
Consoles/ShowButtonHintsXbox	Show button hints
Consoles/StartGameOffline	Start offline game
Consoles/TriggerEffects	Trigger effect
Consoles/UgcLastEditedBy	Author: {0}
Consoles/XboxNetwork	Xbox network
Consoles/clickToActivateConsoles	Press {0} to activate.
Consoles/clickToDeactivateConsoles	Press {0} to deactivate.
Consoles/elementAssignmentPrePollingWindowMessage_ps	First center or zero all sticks and axes and press any button or wait for the timer to finish.
Consoles/elementAssignmentPrePollingWindowMessage_switch	First center or zero all sticks and axes and press any button or wait for the timer to finish.
Consoles/elementAssignmentPrePollingWindowMessage_xbox	First center or zero all sticks and axes and press any button or wait for the timer to finish.
Consoles/joystickElementAssignmentPollingWindowMessage_ps	Now press a button or move an axis to assign it to {0}.
Consoles/joystickElementAssignmentPollingWindowMessage_switch	Now press a button or move an axis to assign it to {0}.
Consoles/joystickElementAssignmentPollingWindowMessage_xbox	Now press a button or move an axis to assign it to {0}.
Consoles/portalGoToDescConsoles	Press {0} teleport to this portal.
Consoles/pressAnyButtonNintendoSwitch	Press any button
Consoles/pressAnyButtonPS4	Press any button
Consoles/pressAnyButtonXbox	Press any button
Consoles/skillInfoConsoles	Press {0} expand talent tree.
Consoles/vanityToggleVisibilityConsoles	Press {0} to toggle the visiblity of equipment
ContentBundles/AbioticFactor	Abiotic Factor Collab
ContentBundles/AbioticFactorDesc	A fragment of a research facility has appeared through an extradimensional rift! Adding this bundle may overwrite an already explored area in the Forgotten Ruins.
ContentBundles/BiomeStatues	Titan Shrines
ContentBundles/BiomeStatuesDesc	Mystical monuments capable of calling upon titans have surfaced! Adding this bundle may overwrite some already explored areas in Azeos' Wilderness, the Sunken Sea, the Desert of Beginnings, and the Shimmering Frontier.
ContentBundles/GiantCicadaBossDungeon	Queen of the Burrowed Sands
ContentBundles/GiantCicadaBossDungeonDesc	A dangerous enemy has appeared! Adding this bundle may overwrite some already explored areas in the Desert of Beginnings.
ContentBundles/GuaranteedOases	Guaranteed Oases
ContentBundles/GuaranteedOasesDesc	Is it a mirage, or are there really oases up ahead? Adding this bundle guarantees that Oasis biomes appear, but may overwrite some already explored areas in the Desert of Beginnings.
ContentBundles/NatureBiomeCicadas	The Queen's Offspring
ContentBundles/NatureBiomeCicadasDesc	The Queen's influence extends into nearby areas as well. Adding this bundle introduces a new enemy type to Azeos' Wilderness, which might overwrite some already explored areas in this biome.
ControlMapper/A4	A4
ControlMapper/A4S	A#4
ControlMapper/A5	A5
ControlMapper/A5S	A#5
ControlMapper/AccelerateVehicle	Accelerate vehicle
ControlMapper/Assign	Assign
ControlMapper/AssignJoystickMessagePC	Press any button or move an axis to assign it to {0}.
ControlMapper/AssignJoystickMessagePlaystation	Press any button or move an axis to assign it to {0}.
ControlMapper/AssignJoystickMessageSwitch	Press any button or move an axis to assign it to {0}.
ControlMapper/AssignJoystickMessageXbox	Press any button or move an axis to assign it to {0}.
ControlMapper/B4	B4
ControlMapper/B5	B5
ControlMapper/C4	C4
ControlMapper/C4S	C#4
ControlMapper/C5	C5
ControlMapper/C5S	C#5
ControlMapper/CharacterAimDown	Aim down
ControlMapper/CharacterAimLeft	Aim left
ControlMapper/CharacterAimRight	Aim right
ControlMapper/CharacterAimUp	Aim up
ControlMapper/CharacterMoveDown	Move character down
ControlMapper/CharacterMoveLeft	Move character left
ControlMapper/CharacterMoveRight	Move character right
ControlMapper/CharacterMoveUp	Move character up
ControlMapper/D4	D4
ControlMapper/D4S	D#4
ControlMapper/D5	D5
ControlMapper/D5S	D#5
ControlMapper/DefaultCategory	Common
ControlMapper/DefaultDescription	Common actions used in various places in the game
ControlMapper/DropSelectedItem	Drop item to world
ControlMapper/E4	E4
ControlMapper/E5	E5
ControlMapper/EquipPreset1	Equip loadout 1
ControlMapper/EquipPreset2	Equip loadout 2
ControlMapper/EquipPreset3	Equip loadout 3
ControlMapper/EquipSlot1	Equip slot 1
ControlMapper/EquipSlot10	Equip slot 10
ControlMapper/EquipSlot2	Equip slot 2
ControlMapper/EquipSlot3	Equip slot 3
ControlMapper/EquipSlot4	Equip slot 4
ControlMapper/EquipSlot5	Equip slot 5
ControlMapper/EquipSlot6	Equip slot 6
ControlMapper/EquipSlot7	Equip slot 7
ControlMapper/EquipSlot8	Equip slot 8
ControlMapper/EquipSlot9	Equip slot 9
ControlMapper/F4	F4
ControlMapper/F4S	F#4
ControlMapper/F5	F5
ControlMapper/F5S	F#5
ControlMapper/G4	G4
ControlMapper/G4S	G#4
ControlMapper/G5	G5
ControlMapper/G5S	G#5
ControlMapper/GameCancel	Close
ControlMapper/GameConfirm	Confirm option
ControlMapper/GameInteract	Attack
ControlMapper/GameMenu	Open menu
ControlMapper/GameNextItem	Equip next item
ControlMapper/GamePreviousItem	Equip previous item
ControlMapper/GameSecondInteract	Use item
ControlMapper/GameX	Left joystick X-axis
ControlMapper/GameY	Left joystick Y-axis
ControlMapper/Honk	Vehicle honk
ControlMapper/HotbarSwapModifierPC	Hotbar swap modifier
ControlMapper/HotbarSwapModifierPlaystation	Hotbar swap modifier
ControlMapper/HotbarSwapModifierSwitch	Hotbar swap modifier
ControlMapper/HotbarSwapModifierXbox	Hotbar swap modifier
ControlMapper/IngameCategory	Gameplay
ControlMapper/IngameDescription	Actions used during normal gameplay
ControlMapper/InventoryCategory	Inventory
ControlMapper/InventoryDescription	Inventory management actions
ControlMapper/MapMoveDown	Move down on the map
ControlMapper/MapMoveLeft	Move left on the map
ControlMapper/MapMoveRight	Move right on the map
ControlMapper/MapMoveUp	Move up on the map
ControlMapper/MapNextMarker	Select next map marker
ControlMapper/MapPing	Ping map
ControlMapper/MapPreviousMarker	Select previous map marker
ControlMapper/MapViewCategory	Map
ControlMapper/MapViewDescription	Fullscreen map controls
ControlMapper/MenuDown	In-game UI down
ControlMapper/MenuLeft	In-game UI left
ControlMapper/MenuRight	In-game UI right
ControlMapper/MenuUp	In-game UI up
ControlMapper/MoveBackward	Move backward
ControlMapper/MoveFaster	Move fast in creative mode
ControlMapper/MoveForward	Move forward
ControlMapper/MoveLeft	Move left
ControlMapper/MoveRight	Move right
ControlMapper/MoveUp	Move forward
ControlMapper/MusicInstrumentCategory	Instrument
ControlMapper/MusicInstrumentDescription	Used to play notes on various music instruments
ControlMapper/ObjectInteract	Interact with object
ControlMapper/OctaveChange	Increase octave on controller
ControlMapper/OpenChat	Open chat
ControlMapper/PickUp10	Pick up / drop 10 items
ControlMapper/PickUpAllItems	Pick up / drop all items
ControlMapper/PickUpHalf	Pick up / drop half of total item amount
ControlMapper/PickUpItems	Pick up / place item
ControlMapper/QuickMoveItems	Move item to other inventory or equip
ControlMapper/QuickStack	Quick stack
ControlMapper/QuickSwapTorch	Swap to torch temporarily
ControlMapper/ReassignRemoveMessage	Do you want to reassign or remove this assignment?
ControlMapper/ReassignRemoveTitle	Reassign or Remove
ControlMapper/RemoveAssignmentMessage	Are you sure you want to remove {0} assignment from {1}?
ControlMapper/ResetNotification	Your input settings have been reset to default. Please set up your preferred controls in the Controls menu.
ControlMapper/ReverseVehicle	Reverse vehicle
ControlMapper/RightJoyStickX	Right joystick X-axis
ControlMapper/RightJoyStickY	Right joystick Y-axis
ControlMapper/RightJoystickBack	Right joystick backward
ControlMapper/RightJoystickForward	Right joystick forward
ControlMapper/RightJoystickLeft	Right joystick left
ControlMapper/RightJoystickRight	Right joystick right
ControlMapper/Rotate	Rotate / resize
ControlMapper/Sort	Sort inventory
ControlMapper/SplitStack	Split item stack
ControlMapper/StopPlayingInstrument	Stop playing
ControlMapper/Timeout	Time left
ControlMapper/ToggleInventory	Toggle inventory
ControlMapper/ToggleLocking	Toggle locking mode
ControlMapper/ToggleMap	Toggle map
ControlMapper/ToggleShortCutsWindowPC	Toggle shortcuts window
ControlMapper/ToggleShortCutsWindowPlaystation	Toggle shortcuts window
ControlMapper/ToggleShortCutsWindowSwitch	Toggle shortcuts window
ControlMapper/ToggleShortCutsWindowXbox	Toggle shortcuts window
ControlMapper/ToggleSpectatedPlayer	Toggle spectated player
ControlMapper/ToggleUI	Toggle in-game UI
ControlMapper/TrashItem	Trash highlighted item
ControlMapper/UIInteract	UI interact
ControlMapper/UIModifierKeys	Inventory UI modifiers, use together with pick up / drop item actions
ControlMapper/UIModifierKeysCategory	Inventory UI modifiers
ControlMapper/UIModifierKeysDescription	Use together with pick up / drop item actions
ControlMapper/UISecondInteract	UI second interact
ControlMapper/UseOffHand	Use off-hand
ControlMapper/VehicleCategory	Vehicle
ControlMapper/VehicleDescription	Used to control go-karts and other similar vehicles
ControlMapper/ZoomInMap	Zoom in map
ControlMapper/ZoomOutMap	Zoom out map
ControlMapper/actionColumnLabel	Actions
ControlMapper/add	Add
ControlMapper/alt	Alt
ControlMapper/assignControllerButtonLabel	Assign Controller
ControlMapper/assignControllerWindowMessage	Press any button or move an axis on the controller you would like to use.
ControlMapper/assignControllerWindowTitle	Choose Controller
ControlMapper/assignedControllersGroupLabel	Assigned Controllers:
ControlMapper/calibrateAxisStep1WindowMessage	Center or zero {0} and press any button or wait for the timer to finish.
ControlMapper/calibrateAxisStep1WindowTitle	Calibrate Zero
ControlMapper/calibrateAxisStep2WindowMessage	Move {0} through its entire range then press any button or wait for the timer to finish.
ControlMapper/calibrateAxisStep2WindowTitle	Calibrate Range
ControlMapper/calibrateControllerButtonLabel	Calibrate
ControlMapper/calibrateControllerWindowTitle	Calibrate Controller
ControlMapper/calibrateWindow_calibrateButtonLabel	Calibrate
ControlMapper/calibrateWindow_deadZoneSliderLabel	Deadzone:
ControlMapper/calibrateWindow_invertToggleLabel	Invert
ControlMapper/calibrateWindow_sensitivitySliderLabel	Sensitivity:
ControlMapper/calibrateWindow_zeroSliderLabel	Zero:
ControlMapper/command	Command
ControlMapper/control	Control
ControlMapper/controllerAssignmentConflictWindowMessage	{0} is already assigned to {1}. Do you want to assign this controller to {2} instead?
ControlMapper/controllerAssignmentConflictWindowTitle	Controller Assignment
ControlMapper/controllerColumnLabel	Controller
ControlMapper/controllerSettingsGroupLabel	Controller:
ControlMapper/default	Default
ControlMapper/doneButtonLabel	Done
ControlMapper/elementAlreadyInUseBlocked	{0} is already in use cannot be replaced.
ControlMapper/elementAlreadyInUseCanReplace	{0} is already in use. Do you want to replace it?
ControlMapper/elementAlreadyInUseCanReplace_conflictAllowed	{0} is already in use. Do you want to replace it? You may also choose to add the assignment anyway.
ControlMapper/elementAssignmentConflictWindowMessage	Assignment Conflict
ControlMapper/elementAssignmentPrePollingWindowMessage	First center or zero all sticks and axes and press any button or wait for the timer to finish.
ControlMapper/inputBehaviorSettingsButtonLabel	Sensitivity
ControlMapper/inputBehaviorSettingsWindowTitle	Sensitivity Settings
ControlMapper/joystickElementAssignmentPollingWindowMessage	Now press a button or move an axis to assign it to {0}.
ControlMapper/joystickElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Now move an axis to assign it to {0}.
ControlMapper/keyboardColumnLabel	Keyboard
ControlMapper/keyboardElementAssignmentPollingWindowMessage	Press a key to assign it to {0}. Modifier keys may also be used. To assign a modifier key alone, [#FF1E00FF]hold it down for 1 second.[/]
ControlMapper/mapCategoriesGroupLabel	Categories:
ControlMapper/mouseAssignmentConflictWindowMessage	The mouse is already assigned to {0}. Do you want to assign the mouse to {1} instead?
ControlMapper/mouseAssignmentConflictWindowTitle	Mouse Assignment
ControlMapper/mouseColumnLabel	Mouse
ControlMapper/mouseElementAssignmentPollingWindowMessage	Press a mouse button or move an axis to assign it to {0}
ControlMapper/mouseElementAssignmentPollingWindowMessage_fullAxisFieldOnly	Move an axis to assign it to {0}.
ControlMapper/none	None
ControlMapper/okay	Okay
ControlMapper/playersGroupLabel	Players:
ControlMapper/remove	Remove
ControlMapper/removeControllerButtonLabel	Remove
ControlMapper/restoreDefaultsButtonLabel	Restore Defaults
ControlMapper/restoreDefaultsWindowMessage_multiPlayer	This will restore the default input configuration for all players. Are you sure you want to do this?
ControlMapper/restoreDefaultsWindowMessage_onePlayer	This will restore the default input configuration. Are you sure you want to do this?
ControlMapper/restoreDefaultsWindowTitle	Restore Defaults
ControlMapper/separator	+
ControlMapper/settingsGroupLabel	Settings:
ControlMapper/shift	Shift
ControlMapper/swap	Swap
CookFoodToDiscover	Cook food to start discovering recipes
CooldownMin	{0} min cooldown
CooldownMinSec	{0} min {1} sec cooldown
CooldownSec	{0} sec cooldown
CopyGameInfo	Copy game info
CreativeMode	Creative
CreativeModeDesc	Set your imagination free in an empty, limitless world.
Credits/AccountDirector	Account Director
Credits/AcquisitionManager	Acquisition Manager
Credits/Actors	Actors
Credits/AdditionalActors	Additional Actors
Credits/AdditionalArt	Additional Art
Credits/AdditionalAudio	Additional Audio
Credits/AdditionalEditors	Additional Editors
Credits/AdditionalGameDesign	Additional Game Design
Credits/AdditionalLeads	Additional Leads
Credits/AdditionalProduction	Additional Production
Credits/AdditionalProgramming	Additional Programming
Credits/AdditionalRecording	Additional Recording
Credits/AdditionalSFX	Additional SFX
Credits/AdditionalWriting	Additional Writing
Credits/AdminAssistant	Admin Assistant
Credits/AmazingModeratorTeam	Amazing Moderator Team
Credits/Animation	Animation
Credits/Animators	Animators
Credits/Art	Art
Credits/ArtAndEffects	Art and Effects
Credits/ArtDirector	Art Director
Credits/Artists	Artists
Credits/AssistantCommunityManager	Assistant Community Manager
Credits/AssociateArtDirector	Associate Art Director
Credits/AssociateProducer	Associate Producer
Credits/AssociateProductManager	Associate Product Manager
Credits/Association71Consulting	"In Association with Marketing & PR Studio
71 Consulting"
Credits/AssociationAceAgency	"In Association with Localization Studio
ACE Agency"
Credits/AssociationDreamLoop	"In Association with Console Porting Studio
Dreamloop Games"
Credits/AssociationEnzyme	"In Association with Compatibility Testing Studio
Enzyme"
